ad_id	watch_id	skip_dur
1_ULJzBsZ4A	YJgfnhAakUk	6.3
BxZwv7zWvbY	lY2H2ZP56K4	nan
eAWol4jGT3U	Q0FXu6bv_8k	11.5
i9DYO645eTk	ZxKP5QOTWSg	12.0
1_ULJzBsZ4A	KC3WJcA7Bcw	6.8
1_ULJzBsZ4A	T7Br7KtBfuY	5.6
x4UKAjo8ksI	yMSTYtMSbL0	nan
1_ULJzBsZ4A	rKzFi_DquOg	22.7
arwqf1azb5U	MaH9oB2g82w	nan
eAWol4jGT3U	Gs069dndIYk	5.9
1_ULJzBsZ4A	CzHotHaXGk0	21.3
arwqf1azb5U	sxdmw4tJJ1Y	5.8
KbstrL_Fj2U	diYAc7gB-0A	11.0
DpaUAFAMf_k	q9KdvjoXCgQ	14.4
1_ULJzBsZ4A	aqU7gTACbV0	5.8
1_ULJzBsZ4A	HLJh9BywCxI	6.1
1_ULJzBsZ4A	W2Xl1SL7iyM	12.8
1_ULJzBsZ4A	e_E-XFrcGZM	5.8
FcvzzY70vSs	vPmtJ48cUnk	6.0
i9DYO645eTk	3rTnnIMIV7M	9.2
SMZEuSsGoUM	OFHt_HNZiNs	nan
1_ULJzBsZ4A	XplNomKUG-o	7.4
fq057OwKP0Q	MWinhnnRezw	7.5
1_ULJzBsZ4A	yezAn6RL9XY	8.6
1_ULJzBsZ4A	IWLwzny9yRA	5.7
osAg_FziShk	UgkmnJms0bk	nan
CTL7ZvoI4N4	fV4DiAyExN0	17.6
i9DYO645eTk	xWAOG3luPlc	7.1
qMCXAUfX8po	S2Cti12XBw4	8.7
CTL7ZvoI4N4	iAP9AF6DCu4	12.3
1_ULJzBsZ4A	RdE1YkLNHgA	55.2
1_ULJzBsZ4A	XEEFLV4o0ig	140.8
s1n1SMcrZcs	xWAOG3luPlc	5.7
1_ULJzBsZ4A	9QZVXGkppHo	5.9
i9DYO645eTk	0a2rHtE9WsA	7.9
1_ULJzBsZ4A	p7WMGdTu5ks	6.3
1_ULJzBsZ4A	lA9EIRk2Sxg	6.9
SMZEuSsGoUM	oLQW-DD6RoQ	9.4
i9DYO645eTk	Ly6Vq1-rMGs	5.5
BxZwv7zWvbY	lV-rlu2Uhl8	29.4
gN3KdiMDFY4	nyC3TC_rSAY	57.1
i9DYO645eTk	gCYcHz2k5x0	8.1
xruFaa1R32g	2zS5XFlenHI	5.7
1_ULJzBsZ4A	T4H6Eam_mic	6.7
TofMzYEf3jY	5ve9A_wO458	5.8
i9DYO645eTk	MT7-zIcgEGY	6.1
_rh7QfOUyyI	HsTco6elTQI	5.9
1_ULJzBsZ4A	Nm1556Mqeu0	6.2
1_ULJzBsZ4A	cXpOwmxW93s	5.7
1_ULJzBsZ4A	Kt6jb00PIt8	6.2
eKJdcW2k048	G9Q6m_BWrwg	5.4
i9DYO645eTk	HgQXQBoar3o	7.2
i9DYO645eTk	Ol8aHAktgmM	6.2
i9DYO645eTk	Anc3ecjL0N8	5.6
PClcnZU_wxM	5s0-JpxC2mw	6.6
SMZEuSsGoUM	vUSzL2leaFM	nan
1_ULJzBsZ4A	wrtKc1ZtrGQ	7.2
XOnrp6mPZBg	aBmLh9VaZys	12.7
oDh1tJAWDXA	30OMijpT8rg	7.1
62QGUqpaNPw	kntzQiaFzOQ	nan
1_ULJzBsZ4A	NU9F126WCUc	6.1
FcvzzY70vSs	YLKedU7l7uw	14.6
1_ULJzBsZ4A	Z1DVYcUK3PY	5.8
i9DYO645eTk	L7ShuDVXytM	5.5
i9DYO645eTk	ZIzRZN_loKE	77.5
i9DYO645eTk	8YaOWBvx_Ms	6.5
i9DYO645eTk	GuU-_ekvLQU	6.1
RzmNjf_OBkk	IT7LP6zReiE	nan
FcvzzY70vSs	EcbE8KCIoaM	31.5
PClcnZU_wxM	tZ46Ot4_lLo	5.9
X22t_4ZQK0w	jaTtQwyOo8A	8.3
i9DYO645eTk	a81eP2E8MEQ	9.3
i9DYO645eTk	qdORqZNn-T8	6.1
2azSJDWCzsU	AoA-ByjIf2M	6.6
XOnrp6mPZBg	-ma3TYcUqkc	6.0
7Z1yBxTUvU4	qdORqZNn-T8	6.1
SMZEuSsGoUM	XYKwqj5QViQ	nan
i9DYO645eTk	CvBfHwUxHIk	6.2
S6p2gidomNk	-DZxdR2FB00	6.2
TofMzYEf3jY	GfpSlDl-aKM	6.0
i9DYO645eTk	WDaNJW_jEBo	27.9
i9DYO645eTk	A6p282-QTNs	7.9
3Br5a1IFpBU	bxY3_AOBUhU	nan
gN3KdiMDFY4	rzivrhTmBFk	nan
i9DYO645eTk	5aEHRwuaRAs	6.1
1_ULJzBsZ4A	KSmMLenf3jk	5.8
i9DYO645eTk	yMRALdRc_pA	6.3
TPaG_TfrXCQ	IA3K-hR6Rfc	12.9
qMCXAUfX8po	1PHmQDAJcBw	5.7
faRlqi4flzg	PgVLJxI1Bp8	nan
1_ULJzBsZ4A	H8ezy9ShA6I	5.5
UqVio5w6p74	DQuF_BQRIe4	8.8
PClcnZU_wxM	XT-Sy6RwTSA	5.7
Alg59M62mfY	pnSyAcoRKIY	7.1
SyRmsKXDvWA	JcTeGGy_oMw	5.9
qMCXAUfX8po	LGyZ_w-aQqE	7.3
TofMzYEf3jY	H9F1qzxVH6Q	nan
oDh1tJAWDXA	ZsQiwS7s6ls	7.9
SMZEuSsGoUM	Sxzy8W5aOcM	nan
2azSJDWCzsU	GuU-_ekvLQU	5.9
TofMzYEf3jY	Iy59w8QaNII	6.0
kLUeHCX10PY	jzYuHxJsFEY	7.7
faRlqi4flzg	goE_BAmZEi4	nan
L5yL8Uw79mo	ZeSEDwFeARg	125.3
i9DYO645eTk	ZeSEDwFeARg	10.6
oDh1tJAWDXA	yZrX2zyPkQ4	nan
1_ULJzBsZ4A	RNlcT_VmigA	9.0
TofMzYEf3jY	hT_nvWreIhg	6.5
i9DYO645eTk	IQMXnpOi0WU	134.4
oDh1tJAWDXA	HkCRYAA1rOA	nan
473cJ-tE-Is	M1nz-ae94L4	nan
i9DYO645eTk	aBYTUunyaWc	15.6
FcvzzY70vSs	601bFGGH4H8	10.8
473cJ-tE-Is	ndd465iNl0w	5.9
8tYm74feLQI	R1HWh7jkX4Y	8.3
7Z1yBxTUvU4	L_fWLZCLaNM	5.8
8tYm74feLQI	k806iPsfhxc	6.3
i9DYO645eTk	xlfwpzCiG3I	5.5
Alg59M62mfY	8zTKWps617w	nan
FcvzzY70vSs	iP_fpeuYI7c	8.6
i9DYO645eTk	cjpJFkhhjU4	6.9
SCtlHFN5Dxo	LvzbaDeL_ho	6.4
w-spE-uWnmU	qUNt58lo5oU	nan
oDh1tJAWDXA	2LQSFLTiwS8	nan
7Z1yBxTUvU4	zT1RN0MhJBY	88.4
i9DYO645eTk	WtcsjPd-cz0	6.6
L1w3rYeyGR8	0iMbEoT93-w	5.9
TLzqRavJ7QY	mQ9OWMsJBTk	7.5
7Z1yBxTUvU4	XTVl29VN18E	6.0
1_ULJzBsZ4A	NFsc4ecWlhc	6.2
7Z1yBxTUvU4	aIN8Ayt8W0A	5.3
i9DYO645eTk	kV3AfnrAcwQ	6.1
Bb1TcNOBtGU	BMPmbK5L4LQ	7.0
Bb1TcNOBtGU	BMPmbK5L4LQ	7.0
1_ULJzBsZ4A	6jSAs2PlHQY	6.4
i9DYO645eTk	7x8ySVx3oXg	5.9
i9DYO645eTk	C1Xja-WcF0c	10.0
i9DYO645eTk	C1Xja-WcF0c	10.0
FcvzzY70vSs	F-Ps4uMHnBE	7.6
SMZEuSsGoUM	P-xrpXIjBe0	6.2
i9DYO645eTk	bkt4q2WzZdw	6.1
AZO7HiigAhY	pwNIYXo_L9g	6.7
kLUeHCX10PY	-m7qDuVoKxg	6.1
XOnrp6mPZBg	qUx1chzpgR8	8.0
PClcnZU_wxM	APb44MQZ32Y	78.3
HW9qF9Jzdlo	vWfaxuhCaVE	5.3
_iuDbnLtsTg	xJZ9Bsm8mxM	6.2
HgJC2r0FbNw	1Y73gVKGTvM	nan
w-spE-uWnmU	dCBM523S3U4	8.4
i9DYO645eTk	W_EJl9UcB6g	10.5
PClcnZU_wxM	W_EJl9UcB6g	nan
gXlkhhlebko	EZl5rt9OC7c	36.2
i9DYO645eTk	W_EJl9UcB6g	58.2
1_ULJzBsZ4A	UHfm76W7tGE	12.1
arwqf1azb5U	EmJA1fgDEx0	6.6
woXbhvZ51Bw	2EgH0suFDIs	8.7
FMgBVnZevVc	b3No9J2wkWs	6.9
ae-6edG7uU4	00M683I_Dec	5.8
ae-6edG7uU4	YUaYE9aMHUM	8.5
gJPaJbTfsiQ	DosA8EfmMrI	78.3
1HY8MRC4Sw4	vdloIrUDx98	7.4
9wxRm890L6M	_aWdW50vD3o	11.9
w-spE-uWnmU	22sbdLJEbjs	6.7
HgJC2r0FbNw	kR3lV6WJJrY	7.3
PClcnZU_wxM	rnr5PV_A484	7.1
3hMQjduZl4w	KFR5TL4Bifo	6.1
kVNv93uTl-g	-Z7t1tM43NM	8.2
oDh1tJAWDXA	dCBM523S3U4	7.9
gJPaJbTfsiQ	vYciwYLcgUU	6.4
i9DYO645eTk	MIAXIkd7YxQ	6.1
i9DYO645eTk	loe_Sji1zWs	6.3
oDh1tJAWDXA	IpPJJb6jyGE	5.9
pZVSKh1S-1Q	a2pQeV7JWBQ	7.1
Alg59M62mfY	B8yDJHNgl08	9.4
4UlbcMkaE5k	B8yDJHNgl08	7.1
i6HM8JAsK3s	uvzt7okwp5s	13.8
AfxIwWfolO0	uvzt7okwp5s	5.8
_rh7QfOUyyI	2ilgkctp0vU	5.7
CqM2K1EQsk4	JBbrt6cBP0I	5.8
CTL7ZvoI4N4	ngd9wR962mw	6.7
gXlkhhlebko	3Ye6tXRqR5I	5.9
_rh7QfOUyyI	OJVBcOPv2tk	10.4
i9DYO645eTk	6q0S7tQ3hyU	10.0
i9DYO645eTk	73sbW7gjBeo	7.8
PClcnZU_wxM	STVnCwNK1RY	5.2
oDh1tJAWDXA	73sbW7gjBeo	10.7
oDh1tJAWDXA	STVnCwNK1RY	nan
Alg59M62mfY	lEgucojo7ko	8.7
0Th_i4x5hqw	AHVS5DW434g	9.2
lXpUQjFcGy4	9E0JjmNtPCc	6.4
7Z1yBxTUvU4	EsF9J8aRkqA	16.4
S6p2gidomNk	aHO5hvD-lq4	5.9
i9DYO645eTk	XXq5VvYAI1Q	6.0
qgc6aUMNMHs	8lCKJqzpK20	6.9
i9DYO645eTk	jYqfZP3u7PE	31.3
i9DYO645eTk	L2olhsOzhdo	6.0
1_ULJzBsZ4A	Mum7UWupu44	7.3
i9DYO645eTk	8lCKJqzpK20	11.1
i9DYO645eTk	U5q3cL4y2GE	8.7
FcvzzY70vSs	-x640lbMucc	nan
_mc1EoZXdr0	kR3lV6WJJrY	11.7
i9DYO645eTk	YX1qInUW9sQ	6.2
gN3KdiMDFY4	-EmV22JS8ao	23.8
1_ULJzBsZ4A	xfDpikCIKyM	7.0
473cJ-tE-Is	xfDpikCIKyM	nan
Cdvef4HDvXM	xfDpikCIKyM	11.5
FcvzzY70vSs	xfDpikCIKyM	nan
L1w3rYeyGR8	xfDpikCIKyM	nan
zqgpy_dnx9E	xfDpikCIKyM	nan
i9DYO645eTk	j4-Gt6dUVj0	7.5
oDh1tJAWDXA	0KSOMA3QBU0	5.8
XOnrp6mPZBg	FOjdXSrtUxA	6.0
i9DYO645eTk	okVCUCUmaPI	6.4
i9DYO645eTk	fsQyPXzvgv0	5.8
i9DYO645eTk	zfBNdb1ZfUA	8.4
i9DYO645eTk	zfBNdb1ZfUA	8.4
i9DYO645eTk	0j-JTbzusyo	8.6
i9DYO645eTk	-wiN3KQCX9I	5.7
i9DYO645eTk	Bg65TbeHtCE	13.8
i9DYO645eTk	hOThUeIrgm0	14.1
i9DYO645eTk	-wiN3KQCX9I	6.1
XOnrp6mPZBg	KOGrcLx5W-g	5.6
PClcnZU_wxM	JRJj4z-prvM	79.7
i9DYO645eTk	goE_BAmZEi4	5.8
oDh1tJAWDXA	jaVVT--W6Ik	13.4
i9DYO645eTk	wGEZ6A_xJgc	nan
XOnrp6mPZBg	wGEZ6A_xJgc	nan
0Y8okuMcB68	lnXE6ccE7Ks	5.8
i9DYO645eTk	J_ghp-w-kZo	5.9
wrikkBNxqdU	qmOqczqyHEY	8.1
Yjbf3v9lxI8	9I1Fzuiliqw	6.3
PClcnZU_wxM	UxOSHCqFIqE	nan
XOnrp6mPZBg	KxWBqtVE918	nan
i9DYO645eTk	Akxbt5shovw	nan
7Z1yBxTUvU4	82dTGIx4Ol4	nan
TLzqRavJ7QY	YC8rDwH7kYU	nan
i9DYO645eTk	ufEejvMEP64	24.7
i9DYO645eTk	ufEejvMEP64	24.7
FcvzzY70vSs	u7dKKakfWkY	9.5
Umz5vj6_gWc	5y_KJAg8bHI	8.1
Umz5vj6_gWc	5y_KJAg8bHI	8.1
1_ULJzBsZ4A	9BMnXXrvcyA	8.7
1_ULJzBsZ4A	9BMnXXrvcyA	8.7
i9DYO645eTk	otdaTjE7r50	10.7
i9DYO645eTk	GFQYaoiIFh8	16.5
i9DYO645eTk	GFQYaoiIFh8	16.5
1_ULJzBsZ4A	BmErRm-vApI	6.5
1_ULJzBsZ4A	BmErRm-vApI	6.5
1_ULJzBsZ4A	MC60y1zTb9s	8.4
i9DYO645eTk	KSVuBM-NNFs	nan
FcvzzY70vSs	1lefGrqcC1A	13.6
FcvzzY70vSs	1lefGrqcC1A	13.6
FcvzzY70vSs	q0Lhsrmr2xA	12.0
FcvzzY70vSs	5WvnAgyT2I0	nan
e6dJkA0YmW4	RMBVzcjPiyo	6.0
1_ULJzBsZ4A	gvftSiwxQbU	8.9
d96C4mZF_F0	k3fGPc_dmVE	5.9
e6dJkA0YmW4	nXkodUosjj0	5.6
FcvzzY70vSs	hKSAR9eSSCY	11.0
d96C4mZF_F0	7wigju4qByY	nan
3gafylo_CYg	gP6Q_D6WW1w	7.7
i9DYO645eTk	NdAf9sR7LWo	nan
arwqf1azb5U	d-SmZW704vk	5.9
d96C4mZF_F0	0aUdInBuj-0	6.2
YH-AujOjLzY	oytC8QBtBHQ	6.5
d96C4mZF_F0	ZAYkKJOPtqI	nan
Ml-U2p7pO8A	5uKoLGPcebY	5.5
esUDxsbh9gs	oTQcL1KlTSM	nan
Ml-U2p7pO8A	oTQcL1KlTSM	nan
FQH3wuEQKe8	oTQcL1KlTSM	nan
e6dJkA0YmW4	rivYsDAmGOY	64.9
8tYm74feLQI	EUJL6N1jMRI	6.4
ECCGkghYUtQ	v6oNE2lT8R4	nan
L1w3rYeyGR8	qrx1vyvtRLY	5.8
i9DYO645eTk	9IlpxVJ9td8	13.0
2azSJDWCzsU	sO84dxWOiLI	5.8
ECCGkghYUtQ	Ea4Jn0-b5NE	nan
ECCGkghYUtQ	OJQjH9NOeNE	nan
fezB9F8ZL0g	-D-VPNvPicQ	6.0
i9DYO645eTk	hKDaNOvbj9Y	9.2
HdGnk-PV26M	5ajaL6gxc5A	12.4
s1n1SMcrZcs	n1HpNOx6lbo	nan
i9DYO645eTk	Zxk8-Hl0q9Q	5.9
5uit9k0gRoE	dMDqWJ7huNM	nan
HdGnk-PV26M	l5-WaEwrXak	6.4
ta4VL8blcjM	YvqqjeZg_fk	13.9
sYZtcuzvs4I	MbQwwUW-aj8	7.4
liYEuy4hgKc	xlvF0qXttqA	nan
HgJC2r0FbNw	1i6jcAv1cLk	5.4
FCCnI9SlUh8	XYnpZqKzJCU	6.0
i9DYO645eTk	RkgTqhJqGoM	17.4
w-spE-uWnmU	ia8ceqIDSJw	6.0
2azSJDWCzsU	TpOu5hDDXUk	5.6
gXlkhhlebko	prus68bzaaw	5.9
VFiyy_o-37s	Nwy4NILJDxw	29.0
i9DYO645eTk	5eSqOUcmw5A	6.0
PoXP41u1IwE	HIPJrrQlxzY	nan
esUDxsbh9gs	HIPJrrQlxzY	12.4
i9DYO645eTk	AKfCG9tn3J0	47.6
PoXP41u1IwE	CpIYbEa_H94	6.0
PoXP41u1IwE	IMICxjm5U5c	6.1
PClcnZU_wxM	dR1Wz0agKWM	5.8
_rh7QfOUyyI	Acmw8dr1ipY	5.5
SMZEuSsGoUM	-cQ5mm1uGv4	6.0
DcabwNmNEb0	QEXjyTTfoGQ	12.3
XOnrp6mPZBg	rLZTTNJHDok	6.2
ECCGkghYUtQ	9uHiWKZDOos	nan
PClcnZU_wxM	Jnj0b9FNYBM	5.9
PoXP41u1IwE	31kB-6w_0Zo	5.7
2azSJDWCzsU	VCFgtCyAEgI	nan
U9SNhfUxxKM	M0iWmG1ZGmM	nan
HgJC2r0FbNw	2g7Ix7PnsTw	8.1
2azSJDWCzsU	48DVwXeu40w	6.2
UGxJn7BOohk	QtFZC658RP8	5.8
SMZEuSsGoUM	osEnXeaCk14	5.7
PClcnZU_wxM	pRuDiWaULZY	10.2
FCCnI9SlUh8	uGJJaXF7Aho	19.2
2azSJDWCzsU	BiHAjOgGfOo	6.2
tZAKkBWf_KA	t5Nx_OxtWuI	6.1
5uit9k0gRoE	BiHAjOgGfOo	6.0
0FVqEeHi5Jk	lyqy8WYrrDQ	131.4
e6dJkA0YmW4	Rb0UmrCXxVA	7.9
i9DYO645eTk	uUaRPpnsfb4	5.9
2azSJDWCzsU	ppUm3TFnhtk	5.3
i9DYO645eTk	bZ_BoOlAXyk	6.0
UGxJn7BOohk	AJcwt_xw2vw	5.7
PClcnZU_wxM	Wfge33Dq3SM	5.7
ECCGkghYUtQ	ivwHnJpcU3Y	nan
1_ULJzBsZ4A	ikKeQPM2qH0	11.8
sonots65JVY	5y_KJAg8bHI	5.7
K8WDsFGUKWA	6B6ap6zglJE	6.9
HgJC2r0FbNw	kCUrqdlPwLo	5.6
i9DYO645eTk	dDjesanWYdQ	5.8
w-spE-uWnmU	BiHAjOgGfOo	5.9
ECCGkghYUtQ	0dofvoPREi8	nan
i9DYO645eTk	nlcIKh6sBtc	5.8
i9DYO645eTk	8pIXA3Wv7JQ	5.5
FQH3wuEQKe8	h2eZQJ_q97M	7.0
YH-AujOjLzY	v9uDwppN5-w	24.1
Py4Vj9_O_lY	Fx3wFI-usmU	6.7
PClcnZU_wxM	4Ook3y2VCo0	5.9
i9DYO645eTk	9l0erGrKGi4	27.8
ae-6edG7uU4	2sKOAF52WGQ	6.1
i9DYO645eTk	2QOOvy3MQfU	14.1
YH-AujOjLzY	rR4_ltSgjZk	5.8
PClcnZU_wxM	RxhIgOkTz7Q	6.6
ECCGkghYUtQ	AN_SQ2UTZFA	nan
HGHxdikX2BU	lSnQAqCY_r8	5.6
iA922fZdRg4	b6Vo7llGp0c	nan
i9DYO645eTk	CXhbTgWpntM	7.4
2azSJDWCzsU	C8DxAQT5goE	5.7
PClcnZU_wxM	6r2BVcS3jM4	5.7
qMCXAUfX8po	hY_DK1di-Pw	nan
sonots65JVY	qtf04A_C5yc	14.3
ae-6edG7uU4	n-D1EB74Ckg	5.9
2azSJDWCzsU	fmJZRt3I9D4	11.7
EwVPWGE13_I	8h8v7tu9118	6.2
2azSJDWCzsU	eL71_oNwlUk	6.0
woXbhvZ51Bw	4Q2WC7BJ1Ns	5.9
i9DYO645eTk	GxAnLJwsxII	nan
4UlbcMkaE5k	VwX_OWkx8Og	10.0
PoXP41u1IwE	hY_DK1di-Pw	nan
woXbhvZ51Bw	vppwWn3ygKs	12.5
i9DYO645eTk	-nb2Tu8rAHg	6.3
2azSJDWCzsU	Hk9oILRGuqo	6.7
e6dJkA0YmW4	3RrDAI7tFzU	5.6
e6dJkA0YmW4	kdemFfbS5H0	5.8
e6dJkA0YmW4	3mdPu13GrAs	6.0
e6dJkA0YmW4	cQrQOmt37Zg	5.9
5uit9k0gRoE	damaQDAMu_Q	7.3
2azSJDWCzsU	X8axSlY_Nkg	8.0
5uit9k0gRoE	uOmVEv-48gM	11.7
M1GblJrvy2A	NcPtnX_7PrM	5.8
PoXP41u1IwE	hY_DK1di-Pw	nan
TZ5-vbfvI9E	9cWYtOppogc	6.1
sv8irEUB2zs	lAPrCdUwLuk	5.8
PClcnZU_wxM	oiXP_zN5ED8	5.8
VFiyy_o-37s	o3SqUUoJjW8	5.7
i9DYO645eTk	RmMvdIbZUfg	7.4
i9DYO645eTk	MULlmZhkxHw	8.8
ZHrJmVEDaJI	WCXFB2PdYRg	5.6
TZ5-vbfvI9E	gltSkRNs9bU	7.8
e6dJkA0YmW4	x6QA3m58DQw	13.7
2azSJDWCzsU	gWn9P7lWxhY	6.2
PoXP41u1IwE	hY_DK1di-Pw	nan
mfUurozzOiw	JXJy1uvdG-A	28.4
_iuDbnLtsTg	dW1McUNtiF0	11.7
HdGnk-PV26M	YoPEmyZx8hQ	6.4
2azSJDWCzsU	-YzDsDMYqdw	24.2
0FVqEeHi5Jk	2XY3AvVgDns	5.8
e6dJkA0YmW4	dWuXi_rG9eI	6.3
ECCGkghYUtQ	-IjgmNT0QKE	nan
i9DYO645eTk	cZHU9lmGF3M	6.0
woXbhvZ51Bw	-quzl8qeld0	5.6
i9DYO645eTk	T7HXli3cBOw	15.1
ByVJl4MQeSs	hHUbLv4ThOo	6.1
UGxJn7BOohk	CMot9oCm8rY	nan
ae-6edG7uU4	qa8oSYKHXfY	nan
i9DYO645eTk	p_RqWocthcc	6.0
i9DYO645eTk	ZtV7vNqU8GU	6.4
gEfbNJO6Jag	IkUGWeWnZ4U	5.6
hV4teobH0cE	R79sN1IVhSw	nan
ngsqPxxnVCk	ozZfvE1p5zM	5.6
i9DYO645eTk	NjXumdCxtDw	6.3
ae-6edG7uU4	bOXvqkC3W4M	5.8
i9DYO645eTk	vYtgmWFLruQ	5.9
fKkYM4eVdPI	QapfTGTXbxc	5.7
ae-6edG7uU4	dSMTyIOGpWE	6.5
ECCGkghYUtQ	1dqF3gDdZ-I	nan
kypY3S_MJQE	p3drZELYZYE	5.6
i9DYO645eTk	0PcrBFCNFIU	5.6
8tYm74feLQI	wncBQy5qeoY	24.7
bLUU7yxZE7M	43qK1Lh2xH0	5.7
Bb1TcNOBtGU	zrRN3Z94IZk	nan
w-spE-uWnmU	b2SeU2fw-qA	24.5
1_ULJzBsZ4A	6EYmKAs7mzc	0.0
i9DYO645eTk	9W-gBUPdVqI	5.7
i9DYO645eTk	i6KwsTcwMPI	6.4
iA922fZdRg4	xcZz9jMDMh4	7.2
i9DYO645eTk	J3UjJ4wKLkg	6.2
6zbaJc-2wdg	gYxuYjg0_1U	nan
lR8HaYwo0EU	lRpV25_vqBY	5.8
iA922fZdRg4	BxlfjHl9XUE	6.0
_rh7QfOUyyI	FnKAWM4tEfw	6.5
e6dJkA0YmW4	T4cdfRohhcg	5.4
PClcnZU_wxM	rcsJ7QPgjJw	0.0
3gafylo_CYg	2EwViQxSJJQ	6.8
ECCGkghYUtQ	GW8GQZnMO-M	nan
SMZEuSsGoUM	551Nbxg6RiY	nan
Bb1TcNOBtGU	GW8GQZnMO-M	14.2
eKJdcW2k048	hT_nvWreIhg	6.2
i9DYO645eTk	J82WzCty6u4	5.8
ae-6edG7uU4	ho8KxDgO9DY	11.1
i9DYO645eTk	QGJuMBdaqIw	47.7
tZAKkBWf_KA	AQ4TW5Z8eu0	nan
iA922fZdRg4	8RbmKuMm1wQ	8.8
i9DYO645eTk	AQ4TW5Z8eu0	6.5
VFiyy_o-37s	c-jXKWOVzxA	7.0
SMZEuSsGoUM	551Nbxg6RiY	5.6
Py4Vj9_O_lY	b5ArKBd32ck	nan
HgJC2r0FbNw	5dbEhBKGOtY	6.3
ae-6edG7uU4	IcrbM1l_BoI	6.7
gXlkhhlebko	lDAInKh5ZXk	30.4
i9DYO645eTk	zykBubH6EFM	5.7
L8VpPFp9Htk	K0V1TPlmb4w	6.3
PClcnZU_wxM	LjhCEhWiKXk	8.4
M1GblJrvy2A	6Uoe4p54h9c	nan
arwqf1azb5U	gYxuYjg0_1U	nan
e6dJkA0YmW4	JnwVHbizoEc	5.6
YH-AujOjLzY	-pMJY56rOX0	14.5
ZA8lJK98Vrc	HVYiFiMw3Wk	12.1
hLseNgmdf6s	MeV4JKxYRWg	10.4
w-spE-uWnmU	nRmxumI5nZE	5.9
68CILkMlUgc	m1HnHVZHAgA	6.5
ae-6edG7uU4	EHkozMIXZ8w	10.7
aXvJ3fN0g6M	W-TE_Ys4iwM	12.7
i9DYO645eTk	4jSG357MQS4	5.5
i9DYO645eTk	3us49I5Hmuc	15.7
e6dJkA0YmW4	5r8G3SEGIV0	6.3
Bb1TcNOBtGU	ny6aIbTurOs	9.3
0FVqEeHi5Jk	fRQM-3OKZAo	8.7
HgJC2r0FbNw	hY_DK1di-Pw	nan
BxZwv7zWvbY	E858Lwqez0o	5.8
68CILkMlUgc	5dbEhBKGOtY	10.7
BxZwv7zWvbY	mRWiV0glHls	5.5
i9DYO645eTk	wI-X_fimgow	19.8
e6dJkA0YmW4	zqPEQUmaYhE	6.9
iA922fZdRg4	Qxz7047yuCQ	nan
tZAKkBWf_KA	AQ4TW5Z8eu0	nan
i9DYO645eTk	AQ4TW5Z8eu0	6.2
eAWol4jGT3U	QZ9dDp3Hi4Q	5.7
i9DYO645eTk	BS2z8M8lGuo	6.2
5uit9k0gRoE	mB_DSr4wmBw	6.5
i9DYO645eTk	cQDuExhNDyo	5.9
1_ULJzBsZ4A	gsojL-6kX8s	5.7
68CILkMlUgc	K87OsJpiBrw	6.9
e6dJkA0YmW4	WUi69GfKeiE	9.4
PClcnZU_wxM	TRZLxxR23K4	nan
hV4teobH0cE	9Cee_Y8N3-E	6.6
5uit9k0gRoE	iLeQS6RU3YE	nan
i9DYO645eTk	wNRXFqh36oo	6.2
_iuDbnLtsTg	FOjdXSrtUxA	5.8
M1GblJrvy2A	eVhFsSAyO4s	nan
e6dJkA0YmW4	eVhFsSAyO4s	17.7
e6dJkA0YmW4	RubBzkZzpUA	6.1
w-spE-uWnmU	CBF2rXJo9Ug	5.4
i9DYO645eTk	S3XII1i7CUg	6.1
iA922fZdRg4	I_B8H956-rg	5.5
6yVve5mV9Ts	eVhFsSAyO4s	nan
5uit9k0gRoE	maTP315XZCQ	5.7
e6dJkA0YmW4	EY-Ggqxbszg	6.6
5uit9k0gRoE	uPR-Aw1U-Lo	nan
FQH3wuEQKe8	GX_0x6eRkx0	5.8
c5tCRGCzNbU	GZ74u5WSfWk	6.5
c5tCRGCzNbU	lLRYzeXRYsE	5.5
iA922fZdRg4	fokfExdbLdE	nan
fezB9F8ZL0g	5ZceL5uinzc	5.8
w-spE-uWnmU	cWXK_U5oIq4	6.6
i9DYO645eTk	8OB5kMsOSWc	8.2
i9DYO645eTk	a3uN8O9bTcc	5.6
i9DYO645eTk	whXYV05p3_Y	7.4
c5tCRGCzNbU	rLQjrHb7oKQ	17.5
kypY3S_MJQE	YuV7vUtV820	5.8
Az14qoXiT00	8NlLQp2xmZ8	8.7
KOUxYQfCE04	tKmQ9T8R1Yw	6.4
ECCGkghYUtQ	5w-hOar6t8o	nan
XPkDc17V1II	GX_0x6eRkx0	nan
gXlkhhlebko	U1FHSPyM65o	5.6
PClcnZU_wxM	qHJRaqaHiEc	5.7
e6dJkA0YmW4	kinFrx1nRS4	9.3
0FVqEeHi5Jk	hqmamaJ30NM	55.2
i9DYO645eTk	fTolLofX1b0	6.6
i9DYO645eTk	7Jf7QoW5j8w	5.8
5uit9k0gRoE	f6piQftAwPw	32.0
BxZwv7zWvbY	71daXSDS8eI	6.5
bCX6LoMX234	AxdiO7l1qjk	6.1
e6dJkA0YmW4	8yZiqUxFT_Y	17.4
BxZwv7zWvbY	e7y26bug5CE	22.4
XPkDc17V1II	GX_0x6eRkx0	nan
i9DYO645eTk	0bnNd0Rms98	9.2
PClcnZU_wxM	Y9Bh3RajtQo	5.7
i9DYO645eTk	6PWUbDhHfqs	14.0
