ad_id	watch_id	skip_dur
5uit9k0gRoE	Lg8K7ge9sKo	nan
RaVSkjzscjI	HhUays2ehyI	5.7
ae-6edG7uU4	Myt10nSQ16o	nan
ae-6edG7uU4	CMot9oCm8rY	5.9
YMpohx6PmQ0	ofarJ8LlhM8	10.8
5uit9k0gRoE	XTSJJe0aBuk	9.0
y-8zugipO5E	1RzfDyuATH0	21.2
ae-6edG7uU4	4OjXQEQuPsg	5.2
OSqH21Vwp-8	o31pmwWNUww	6.4
TOn04wCFXMA	PNu_-deVemE	5.9
Gjav3WZFqXw	CyclSzu2KwY	14.1
TOn04wCFXMA	OSF7sid6SjA	8.2
TOn04wCFXMA	cEcYSJfxktk	9.5
WVgYOaERNj4	j1WEtFFPVBU	5.9
TOn04wCFXMA	skp8etS8Nl0	20.8
7-6C8GOs4Kw	x9_RHV804VQ	6.2
5uit9k0gRoE	34nrWcUglVg	6.0
5uit9k0gRoE	3MteSlpxCpo	41.2
5wlNw4Kcong	CrZuUOGIIRo	5.6
iRHcYO9dBoI	DZ3xkWuP3Ck	5.9
TOn04wCFXMA	24D8OgbqrV4	5.7
Qv872Cm4Mzs	ny6aIbTurOs	33.1
9NPMkhwfvDY	fZsN5J9SBSk	5.7
WVgYOaERNj4	ef7_H4VGuIw	8.2
5uit9k0gRoE	XFLM99FprvM	6.1
KvA1H4LQ2Ks	wevbi_zEmxc	6.4
_rh7QfOUyyI	uZ0GdOB-D0U	10.6
WVgYOaERNj4	Z5pWz_OR5Sg	7.6
5uit9k0gRoE	E75YV4T-mTI	5.8
3Br5a1IFpBU	gy_zDh0W82M	6.8
5uit9k0gRoE	Na-pet5Jzn4	6.0
Qv872Cm4Mzs	L0Tjxu_dCVs	5.1
m8bu92ZKvuE	L0Tjxu_dCVs	5.6
nf2Z7aCbpwo	UoPplpBPQxQ	nan
WkQSIqbEntY	HSGcy9_4h84	6.2
-XMBEFABOUM	hTWKbfoikeg	5.9
5uit9k0gRoE	oar--SJMRsQ	8.6
7-6C8GOs4Kw	MTE_mIPJsDc	nan
9NPMkhwfvDY	PNu_-deVemE	6.6
X1M-9hGo2pA	cnNyxy7XPfs	5.8
tV1vF7Oaye8	vyPQueMm0pw	11.8
5uit9k0gRoE	PNu_-deVemE	7.0
WVgYOaERNj4	ZIOoDbf7ETI	nan
TOn04wCFXMA	TDQwYdodNfY	9.9
SjhTcNGbZH0	IWuY1ijDPZc	5.5
egs0YUntY7w	VEQXeLjY9ak	7.0
4BD7TdTGYSs	zq-CjRQmPwU	5.9
5uit9k0gRoE	R6RguKJST2A	6.4
Q-elRg_0aJg	RrJpwIagdAQ	7.6
m8bu92ZKvuE	6kObk2p2wy8	6.4
LPmu3qbmd1A	34GjhqzTKRc	9.5
nf2Z7aCbpwo	5YXwE6VTT6g	5.9
0FVqEeHi5Jk	ErvgV4P6Fzc	7.8
X1M-9hGo2pA	2Oi_jELYOe0	13.2
eKJdcW2k048	txLPlvkGiP4	6.4
dpxz4825o2M	_rxgp7TJhUE	nan
WVgYOaERNj4	AczErXOLx_w	8.3
nBRXWkcXLAY	QMZMW4VznUc	5.9
9NPMkhwfvDY	sWlUAdRp8F8	6.2
9NPMkhwfvDY	upyIvoWdNFQ	5.7
5uit9k0gRoE	NaeUJuFH1qI	6.2
Gjav3WZFqXw	kP4QHmrBWwE	nan
WVgYOaERNj4	HsSjfkezM6s	16.0
Q-elRg_0aJg	MnVst_U23Zs	5.7
5uit9k0gRoE	hT_nvWreIhg	83.5
5uit9k0gRoE	1Yrrx9aCsFk	5.6
ZUAg51kA42M	W_ovmEf8ObE	6.0
y-8zugipO5E	PNu_-deVemE	nan
y-8zugipO5E	uuZE_IRwLNI	6.2
0FVqEeHi5Jk	L1uSRoCCPUU	5.2
TOn04wCFXMA	rHw18akJtgs	5.7
3a4hg1BBlbg	UW16Hzu7u5c	5.8
ae-6edG7uU4	EHkozMIXZ8w	5.8
egs0YUntY7w	T29NLnGo3D4	6.5
5uit9k0gRoE	Adgx9wt63NY	5.8
TOn04wCFXMA	uSdEu5bDj4s	5.3
O_25H_FDGXE	c3pHL6TYa3s	6.5
5uit9k0gRoE	wul36d4jteI	7.4
5uit9k0gRoE	IxMwRwPDBGk	9.0
y-8zugipO5E	2gnd7j2ZbiE	6.2
nBRXWkcXLAY	df-eLzao63I	30.3
WVgYOaERNj4	UWMPDSYMggI	5.9
FCCnI9SlUh8	PEN2M_eo6SY	5.7
HFa9aW_mSww	k50XBxXbVVg	5.7
Gjav3WZFqXw	vA9pLgSSU2w	5.8
5uit9k0gRoE	YyknBTm_YyM	29.4
9NPMkhwfvDY	qrx1vyvtRLY	6.0
5uit9k0gRoE	MUifGCXuLNY	5.6
y-8zugipO5E	2ItwNw4Fdwc	6.1
1xHQ7IRnPkI	Zi8vJ_lMxQI	9.6
y-8zugipO5E	RBumgq5yVrA	25.6
3Br5a1IFpBU	jJUFi4aXEFA	70.7
HFa9aW_mSww	gbv41rqWERA	5.8
TOn04wCFXMA	dZq7l9Oj-_c	6.6
nBRXWkcXLAY	V2Y9KrxQSMc	6.1
TOn04wCFXMA	PNu_-deVemE	8.5
5uit9k0gRoE	Bv24Jee3WBk	38.8
JOPocePQVUA	87FNMfTGSmA	5.9
YMpohx6PmQ0	pL7HrtLvAus	5.6
SH7YS24rto8	M4daayQ3HOw	16.7
62QGUqpaNPw	2WAfZLMAW0o	24.4
y-8zugipO5E	ovtmHm93ruQ	nan
Gjav3WZFqXw	lMkR74vTN9Y	5.9
y-8zugipO5E	D3JL0PpmYw0	5.9
9NPMkhwfvDY	j6XSBt043S8	15.2
TOn04wCFXMA	PNu_-deVemE	45.5
nf2Z7aCbpwo	ZbUENJ5FjBk	5.7
mclhsDvjzhI	VL_R5QZcMpw	5.8
eIyB_V3Bpig	Jg6nxmvun30	23.0
5uit9k0gRoE	2Gn9A-kdsRo	5.8
SH7YS24rto8	06EU93TjgUA	5.8
X1M-9hGo2pA	eUHvNcJaWVU	5.9
HFa9aW_mSww	zuQJq9CmgxY	6.2
0FVqEeHi5Jk	gCYcHz2k5x0	39.5
Qv872Cm4Mzs	q5dz290dUpE	37.4
3Br5a1IFpBU	QtlgzFKWZKE	5.7
y-8zugipO5E	OUkh0p2y7mA	56.1
y-8zugipO5E	Hu83aUCjoXQ	6.3
WVgYOaERNj4	1EBfxjSFAxQ	nan
egs0YUntY7w	Me2jnCc8R_U	5.8
5uit9k0gRoE	4ez0mWGNm8U	6.5
9NPMkhwfvDY	zSQHNp-RKL8	6.3
5uit9k0gRoE	eVUEWLvIISs	34.4
5uit9k0gRoE	0EWbonj7f18	5.7
5uit9k0gRoE	52NT9cSWC_8	6.2
JOPocePQVUA	qdhBorHldpE	12.7
nf2Z7aCbpwo	FZ4JFYUUyIk	6.6
-XMBEFABOUM	LL_G7hHJy3c	5.7
